humidity,temperature,nutrients,date,irrigation_time,duration,sensor_15,target
48.66,24.76,fosforo,2024-11-30,23:12,17.380000000000003,9,1
44.08,18.3,fosforo,2024-11-30,17:10,14.15,5,3
42.26,17.17,fosforo,2024-12-01,20:06,13.585,8,1
63.66,32.56,potassio,2024-11-30,01:31,21.28,7,3
75.28,30.73,potassio,2024-12-04,10:09,20.365000000000002,12,2
79.67,23.55,fosforo,2024-11-30,07:26,16.775,13,2
44.72,26.38,fosforo,2024-12-04,05:07,18.189999999999998,8,2
33.2,19.14,fosforo,2024-12-01,19:05,14.57,6,3
41.23,17.03,potassio,2024-11-30,22:24,13.515,7,3
54.73,25.55,fosforo,2024-12-02,23:44,17.775,12,1
53.55,33.83,potassio,2024-12-03,13:03,21.915,11,2
37.3,28.41,potassio,2024-12-01,04:26,19.205,14,2
67.89,29.12,fosforo,2024-12-02,07:00,19.560000000000002,3,3
66.32,34.98,potassio,2024-12-02,13:35,22.49,4,3
42.34,15.06,fosforo,2024-12-01,15:37,12.530000000000001,12,1
73.25,25.1,potassio,2024-12-02,03:29,17.55,7,2
64.96,30.42,fosforo,2024-12-03,15:49,20.21,4,1
52.49,23.74,fosforo,2024-12-02,13:07,16.869999999999997,10,1
49.37,33.26,potassio,2024-11-30,22:26,21.63,9,2
25.18,31.35,potassio,2024-12-02,10:00,20.675,6,3
43.5,20.09,fosforo,2024-11-30,18:14,15.045,15,2
20.59,33.54,fosforo,2024-12-01,07:32,21.77,1,3
72.93,23.42,fosforo,2024-12-03,17:54,16.71,13,2
63.52,29.83,potassio,2024-12-04,07:34,19.915,10,3
64.86,34.39,fosforo,2024-12-04,01:02,22.195,8,1
52.53,16.04,potassio,2024-12-01,05:25,13.02,4,3
49.28,23.22,fosforo,2024-12-03,13:00,16.61,8,3
70.03,25.47,potassio,2024-12-01,19:24,17.735,14,3
58.49,31.59,potassio,2024-12-03,17:25,20.795,13,3
23.23,29.7,potassio,2024-12-02,12:34,19.85,8,1
33.46,30.81,fosforo,2024-12-03,07:45,20.405,7,2
69.11,32.89,fosforo,2024-12-03,05:22,21.445,1,1
35.27,19.31,potassio,2024-12-04,13:19,14.655,12,2
40.68,17.87,potassio,2024-12-01,18:03,13.935,5,1
72.97,22.79,fosforo,2024-12-03,02:30,16.395,11,3
70.69,31.74,fosforo,2024-11-30,11:04,20.869999999999997,3,2
